set_id,opt_obj,threshold_obj,neural_obj,neural_rnn_obj,running_time_0,running_time_1,running_time_2
1,389.8948678985384,392.4128217900659,390.2842769229295,390.2842769229295,0.06222271919250488,0.07151079177856445,0.0628519058227539
1,344.77667882646034,344.77667882651247,344.77667882651247,345.499017506581,0.12320876121520996,0.1440420150756836,0.06211566925048828
1,349.46236910555456,356.45006260103906,351.39223875814986,351.39223875814986,0.0945127010345459,0.07625794410705566,0.05735969543457031
1,391.0922836758605,392.8966961797091,397.2036577681936,397.2036577681936,0.06656575202941895,0.1331024169921875,0.07797384262084961
1,369.2000149110252,370.8202214826225,369.20001491102687,371.54588703886026,0.07300496101379395,0.07460951805114746,0.05494260787963867
1,356.8833004737006,357.46915497716566,356.89780377681825,356.89780377681825,0.15619730949401855,0.11391448974609375,0.08832979202270508
1,382.9886576531656,389.53492183447156,390.0972781845884,386.23340867363476,0.12693047523498535,0.11021208763122559,0.10333847999572754
1,363.51253420960865,368.30038549743995,363.512534209694,364.7711524625861,0.08986520767211914,0.08987188339233398,0.05852007865905762
1,364.9975814714023,364.9975814714512,364.9975814714512,367.22306203409016,0.10109758377075195,0.07300424575805664,0.08379840850830078
1,304.54230172079986,304.5423017208581,304.5423017208581,304.5423017208581,0.05917859077453613,0.04591870307922363,0.0733330249786377
1,331.2962121297171,353.9051714887708,333.6856294591037,333.6856294591037,0.06783127784729004,0.07194280624389648,0.06424808502197266
1,388.00604200769465,395.9906244006935,391.7402465010108,391.859986659079,0.09611105918884277,0.07074666023254395,0.07022929191589355
1,349.8056104547424,353.6838962220746,349.80561045482466,349.80561045482466,0.0645594596862793,0.06519246101379395,0.06353974342346191
1,347.5956614527129,347.595661452772,350.060929777185,350.3824016479754,0.060308218002319336,0.06969094276428223,0.056755781173706055
1,371.3982843919305,373.16414324644217,371.3982843920005,376.00463781547995,0.09916949272155762,0.09140419960021973,0.07772350311279297
1,380.9790610466044,388.0757536536383,380.9790610466395,383.49115320737053,0.060684919357299805,0.04023575782775879,0.05197310447692871
