n_vehicles,set_name,threshold_obj,threshold_train_time,neural_obj,neural_train_time,opt_obj,opt_time,threshold_gap,neural_gap,neural,threshold
10,low,7.78,3.16,5.33,5.96,5.29,0.05,1.47,1.01,5.33 (0.70\%),7.78 (47.08\%)
30,low,11.31,17.36,8.7,9.72,8.6,2.01,1.31,1.01,8.70 (1.22\%),11.31 (31.49\%)
50,low,14.6,42.35,11.14,13.81,11.03,13.78,1.32,1.01,11.14 (1.08\%),14.60 (32.41\%)
10,med,6.39,3.08,4.53,5.7,4.46,0.06,1.43,1.01,4.53 (1.40\%),6.39 (43.15\%)
30,med,8.96,17.4,7.11,9.76,6.99,1.88,1.28,1.02,7.11 (1.72\%),8.96 (28.29\%)
50,med,10.77,42.42,8.68,13.86,8.55,15.11,1.26,1.01,8.68 (1.44\%),10.77 (25.93\%)
10,high,5.7,3.1,4.54,5.71,4.47,0.06,1.28,1.01,4.54 (1.50\%),5.70 (27.51\%)
30,high,8.58,17.4,7.05,9.75,6.9,1.9,1.24,1.02,7.05 (2.16\%),8.58 (24.25\%)
50,high,8.88,42.55,7.51,13.88,7.37,14.99,1.2,1.02,7.51 (1.87\%),8.88 (20.42\%)
