s,K,n,theta,eta,lambda1,lambda2
2, 2, 20, 5, 0.5, 2, 3
2, 2, 20, 5, 0.5, 2, 4
2, 2, 20, 5, 0.5, 2, 5
2, 2, 20, 5, 0.5, 2, 6
